"run_id","symbol_id","vendor_id","open_time","open","high","low","close","volume","close_time","n_trades"
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1609545600000,29331.7,33300,28946.53,32178.33,129993.873362,1609631999999,2245922
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1609632000000,32176.45,34778.11,31962.99,33000.05,120957.56675,1609718399999,2369698
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1609718400000,33000.05,33600,28130,31988.71,140899.88569,1609804799999,2642408
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1609804800000,31989.75,34360,29900,33949.53,116049.997038,1609891199999,2526851
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1609891200000,33949.53,36939.21,33288,36769.36,127139.20131,1609977599999,2591783
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1609977600000,36769.36,40365,36300,39432.28,132825.700437,1610063999999,2814686
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1610064000000,39432.48,41950,36500,40582.81,139789.957499,1610150399999,2925632
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1610150400000,40586.96,41380,38720,40088.22,75785.979675,1610236799999,1998156
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1610236800000,40088.22,41350,35111.11,38150.02,118209.544503,1610323199999,2628050
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1610323200000,38150.02,38264.74,30420,35404.47,249131.539943,1610409599999,4431451
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1610409600000,35410.37,36628,32531,34051.24,133948.151996,1610495999999,2674145
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1610496000000,34049.15,37850,32380,37371.38,124477.914938,1610582399999,2514289
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1610582400000,37371.38,40100,36701.23,39144.5,102950.389421,1610668799999,2297466
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1610668800000,39145.21,39747.76,34408,36742.22,118300.920916,1610755199999,2560801
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1610755200000,36737.43,37950,35357.8,35994.98,86348.431508,1610841599999,2066363
"05fca610-fbe4-11ec-8383-fa77157ffcaa",1,1,1610841600000,35994.98,36852.5,33850,35828.61,80157.727384,1610927999999,1860642
