1654056000000,"31627.29000000","31670.00000000","31371.45000000","31566.60000000","2528.78791000",1654059599999,"79723190.83543080",44628,"1179.01419000","37174233.36639860","0"
1654059600000,"31566.60000000","31626.93000000","31445.76000000","31622.28000000","1293.69241000",1654063199999,"40814438.88740090",29705,"627.55543000","19800490.69615800","0"
1654063200000,"31622.28000000","31669.01000000","31568.69000000","31584.62000000","1058.34091000",1654066799999,"33460008.57185790",23725,"495.97435000","15681255.55267440","0"
1654066800000,"31584.62000000","31642.68000000","31474.40000000","31482.43000000","1693.71781000",1654070399999,"53429013.11248070",28726,"802.20120000","25306474.88536340","0"
1654070400000,"31482.42000000","31647.31000000","31450.00000000","31624.91000000","2005.46649000",1654073999999,"63318819.07939450",37721,"1103.07458000","34828280.71077040","0"
1654074000000,"31624.90000000","31708.39000000","31614.00000000","31695.99000000","1187.22373000",1654077599999,"37590630.10619540",27379,"646.10643000","20456992.38071820","0"
1654077600000,"31696.00000000","31709.99000000","31540.46000000","31553.00000000","1399.10858000",1654081199999,"44219204.13243510",28586,"512.88963000","16206915.62948430","0"
1654081200000,"31552.99000000","31670.69000000","31444.00000000","31609.16000000","2405.21730000",1654084799999,"75857072.44801100",44404,"1130.17872000","35652533.91886740","0"
1654084800000,"31609.15000000","31846.27000000","31533.66000000","31727.65000000","2698.50253000",1654088399999,"85507174.86476960",45173,"1553.66189000","49230633.51601120","0"
1654088400000,"31727.65000000","31901.34000000","31649.43000000","31739.45000000","3429.33158000",1654091999999,"108978305.46440530",62043,"1658.97093000","52715077.13924820","0"
1654092000000,"31739.44000000","31819.02000000","30955.00000000","31172.49000000","7201.07578000",1654095599999,"225478673.52596390",106496,"3344.46619000","104679860.83745140","0"
1654095600000,"31172.48000000","31239.14000000","30600.00000000","30742.59000000","10280.12197000",1654099199999,"317321387.08134990",118368,"4541.12867000","140227536.70433890","0"
1654099200000,"30742.59000000","30744.19000000","30291.67000000","30419.62000000","14127.39573000",1654102799999,"430938172.75475870",139322,"6372.68287000","194218414.20502480","0"
1654102800000,"30419.62000000","30429.71000000","29901.29000000","30179.67000000","11518.46140000",1654106399999,"347157563.10449330",145384,"4378.66586000","131946949.16458610","0"
1654106400000,"30179.68000000","30445.00000000","30119.41000000","30167.69000000","5554.23114000",1654109999999,"168192877.55505530",73579,"2895.00162000","87665456.93617240","0"
1654110000000,"30167.69000000","30351.74000000","30002.92000000","30126.72000000","6735.20838000",1654113599999,"203121937.55640770",68908,"3699.36397000","111500800.66869470","0"
1654113600000,"30126.71000000","30162.44000000","29301.00000000","29636.09000000","13421.54865000",1654117199999,"399241311.34063430",123248,"5633.02316000","167187649.18005680","0"
1654117200000,"29636.10000000","29772.15000000","29576.72000000","29592.93000000","2013.80831000",1654120799999,"59786902.60902130",37932,"844.81618000","25082998.18624950","0"
1654120800000,"29592.92000000","29769.61000000","29519.58000000","29747.16000000","2091.86169000",1654124399999,"62015002.41671810",34329,"1069.35770000","31702869.01984230","0"
1654124400000,"29747.17000000","30074.95000000","29728.80000000","29805.83000000","3650.13160000",1654127999999,"109160442.02976490",43372,"1866.59193000","55813067.48854040","0"
1654128000000,"29805.84000000","29817.89000000","29594.55000000","29680.00000000","2826.62933000",1654131599999,"83973513.71084120",49280,"1349.38135000","40085866.87526250","0"
1654131600000,"29680.01000000","29888.02000000","29640.18000000","29811.89000000","1742.44118000",1654135199999,"51913522.80545160",36801,"927.12865000","27619993.74191490","0"
1654135200000,"29811.90000000","29903.74000000","29778.12000000","29826.16000000","1292.33107000",1654138799999,"38550339.59282600",28861,"680.50268000","20299154.38281120","0"
1654138800000,"29826.16000000","29856.93000000","29703.05000000","29730.12000000","1690.59886000",1654142399999,"50343791.56203640",34094,"749.74232000","22327157.82981060","0"
1654142400000,"29730.12000000","29824.11000000","29650.93000000","29817.24000000","1223.11546000",1654145999999,"36391839.83612090",31720,"599.63297000","17841357.20316010","0"
1654146000000,"29817.24000000","29885.29000000","29683.82000000","29875.72000000","1545.78454000",1654149599999,"46047492.18757950",39420,"794.88445000","23678275.60097460","0"
1654149600000,"29875.72000000","29951.73000000","29806.79000000","29915.24000000","1213.29204000",1654153199999,"36246366.32683340",32098,"627.65786000","18751478.55040580","0"
1654153200000,"29915.24000000","30123.35000000","29901.01000000","29968.26000000","2812.52841000",1654156799999,"84359130.48873730",56415,"1482.77822000","44473806.66575650","0"
1654156800000,"29968.27000000","30020.84000000","29914.14000000","29938.48000000","1508.58728000",1654160399999,"45211743.68461850",33818,"745.62794000","22345505.93949790","0"
1654160400000,"29938.47000000","30019.23000000","29871.00000000","29934.50000000","1468.23464000",1654163999999,"43963225.42684840",34224,"710.00258000","21258885.62115920","0"
1654164000000,"29934.50000000","30171.82000000","29865.00000000","30034.37000000","2138.70768000",1654167599999,"64140811.31841970",50539,"1072.72639000","32173769.46354230","0"
1654167600000,"30034.37000000","30210.18000000","29961.04000000","30173.67000000","2236.38850000",1654171199999,"67268318.51678210",44278,"1196.40746000","35995222.62798500","0"
1654171200000,"30173.66000000","30186.64000000","30051.36000000","30089.29000000","1889.59851000",1654174799999,"56902180.26212240",36593,"953.83921000","28722259.61541650","0"
1654174800000,"30089.29000000","30251.96000000","29597.01000000","29895.28000000","8229.09439000",1654178399999,"245991355.95138610",116081,"3909.04560000","116864015.15185430","0"
1654178400000,"29895.29000000","30144.93000000","29768.27000000","30052.08000000","5264.79605000",1654181999999,"157697767.90542730",82682,"2721.15033000","81518882.19200050","0"
